# format_version=3
# source=project-authored-synthetic-fixtures
# contains_personal_data=false
# typed_text_persistence_allowed=false
case_id	step	action	argument	request_seq	request_revision	expected_revision	expected_preedit	expected_caret_utf16	expected_segments	expected_page_index	expected_has_previous	expected_has_next	expected_candidate_ids	expected_commit	expected_mode	expected_error
start_idempotency	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
start_idempotency	2	START_DUPLICATE	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
start_idempotency	3	KEY	n	2	0	1	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
selection_and_paging	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
selection_and_paging	2	KEYS	nihao	2	0	5	nihao	5	0:5:RAW	0	false	true	$n1,$n2	~	SELECTING	~
selection_and_paging	3	PAGE_NEXT	-	7	5	6	nihao	5	0:5:RAW	1	true	false	$n3	~	SELECTING	~
selection_and_paging	4	PAGE_PREVIOUS	-	8	6	7	nihao	5	0:5:RAW	0	false	true	$n1,$n2	~	SELECTING	~
selection_and_paging	5	PAGE_NEXT	-	9	7	8	nihao	5	0:5:RAW	1	true	false	$n3	~	SELECTING	~
selection_and_paging	6	SELECT	$n3	10	8	9	<empty>	0	<empty>	0	false	false	<empty>	你号	DIRECT	~
selection_and_paging	7	SNAPSHOT	-	-	-	9	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_commit	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_commit	2	KEYS	zhongguo	2	0	8	zhongguo	8	0:8:RAW	0	false	false	$z1	~	SELECTING	~
duplicate_commit	3	COMMIT	-	10	8	9	<empty>	0	<empty>	0	false	false	<empty>	中国	DIRECT	~
duplicate_commit	4	COMMIT	-	10	8	9	<empty>	0	<empty>	0	false	false	<empty>	中国	DIRECT	~
duplicate_commit	5	ASSERT_PROJECTED_EDITOR	中国	-	-	-	-	-	-	-	-	-	-	~	-	~
duplicate_commit	6	ASSERT_COMMIT_MUTATIONS	1	-	-	-	-	-	-	-	-	-	-	~	-	~
duplicate_commit	7	SNAPSHOT	-	-	-	9	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_cancel	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_cancel	2	KEYS	nihao	2	0	5	nihao	5	0:5:RAW	0	false	true	$d1,$d2	~	SELECTING	~
duplicate_cancel	3	CANCEL	-	7	5	6	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_cancel	4	CANCEL	-	7	5	6	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_cancel	5	SNAPSHOT	-	-	-	6	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_end	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
duplicate_end	2	KEY	n	2	0	1	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
duplicate_end	3	END_SESSION	-	3	-	-	-	-	-	-	-	-	-	~	-	~
duplicate_end	4	END_SESSION	-	3	-	-	-	-	-	-	-	-	-	~	-	~
duplicate_end	5	ASSERT_SANITIZED	-	-	-	-	-	-	-	-	-	-	-	~	-	~
duplicate_end	6	SNAPSHOT	-	-	-	-	-	-	-	-	-	-	-	~	-	SESSION_ENDED
ordering_and_stale	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
ordering_and_stale	2	KEY	n	3	0	-	-	-	-	-	-	-	-	~	-	OUT_OF_ORDER_REQUEST
ordering_and_stale	3	SNAPSHOT	-	-	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
ordering_and_stale	4	KEY	n	2	0	1	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
ordering_and_stale	5	KEY	i	3	0	-	-	-	-	-	-	-	-	~	-	STALE_REVISION
ordering_and_stale	6	SNAPSHOT	-	-	-	1	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
ordering_and_stale	7	KEY	i	3	1	2	ni	2	0:2:RAW	0	false	false	<empty>	~	COMPOSING	~
ordering_and_stale	8	KEY	h	3	2	-	-	-	-	-	-	-	-	~	-	OUT_OF_ORDER_REQUEST
ordering_and_stale	9	SNAPSHOT	-	-	-	2	ni	2	0:2:RAW	0	false	false	<empty>	~	COMPOSING	~
page_bounds	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
page_bounds	2	KEYS	nihao	2	0	5	nihao	5	0:5:RAW	0	false	true	$p1,$p2	~	SELECTING	~
page_bounds	3	PAGE_PREVIOUS	-	7	5	-	-	-	-	-	-	-	-	~	-	PAGE_OUT_OF_RANGE
page_bounds	4	SNAPSHOT	-	-	-	5	nihao	5	0:5:RAW	0	false	true	$p1,$p2	~	SELECTING	~
page_bounds	5	PAGE_NEXT	-	7	5	6	nihao	5	0:5:RAW	1	true	false	$p3	~	SELECTING	~
page_bounds	6	PAGE_NEXT	-	8	6	-	-	-	-	-	-	-	-	~	-	PAGE_OUT_OF_RANGE
page_bounds	7	SNAPSHOT	-	-	-	6	nihao	5	0:5:RAW	1	true	false	$p3	~	SELECTING	~
page_bounds	8	PAGE_PREVIOUS	-	8	6	7	nihao	5	0:5:RAW	0	false	true	$p1,$p2	~	SELECTING	~
host_reboot	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
host_reboot	2	KEYS	nihao	2	0	5	nihao	5	0:5:RAW	0	false	true	$h1,$h2	~	SELECTING	~
host_reboot	3	RESTART_HOST	-	-	-	-	-	-	-	-	-	-	-	~	-	~
host_reboot	4	ASSERT_SANITIZED	-	-	-	-	-	-	-	-	-	-	-	~	-	~
host_reboot	5	SNAPSHOT	-	-	-	-	-	-	-	-	-	-	-	~	-	STALE_SESSION
host_reboot	6	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
host_reboot	7	KEY	n	2	0	1	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
new_host_isolation	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
new_host_isolation	2	KEY	n	2	0	1	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
new_host_isolation	3	NEW_HOST	-	-	-	-	-	-	-	-	-	-	-	~	-	~
new_host_isolation	4	SNAPSHOT	-	-	-	-	-	-	-	-	-	-	-	~	-	STALE_SESSION
new_host_isolation	5	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
new_host_isolation	6	SNAPSHOT_RETIRED_SESSION_CURRENT_EPOCH	-	-	-	-	-	-	-	-	-	-	-	~	-	INVALID_SESSION
new_host_isolation	7	SNAPSHOT	-	-	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
cleanup_and_tombstones	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
cleanup_and_tombstones	2	KEYS	nihao	2	0	5	nihao	5	0:5:RAW	0	false	true	$c1,$c2	~	SELECTING	~
cleanup_and_tombstones	3	END_SESSION	-	7	-	-	-	-	-	-	-	-	-	~	-	~
cleanup_and_tombstones	4	ASSERT_SANITIZED	-	-	-	-	-	-	-	-	-	-	-	~	-	~
cleanup_and_tombstones	5	SNAPSHOT	-	-	-	-	-	-	-	-	-	-	-	~	-	SESSION_ENDED
cleanup_and_tombstones	6	CHURN_ENDED	80	-	-	-	-	-	-	-	-	-	-	~	-	~
cleanup_and_tombstones	7	ASSERT_TOMBSTONES_BOUNDED	64	-	-	-	-	-	-	-	-	-	-	~	-	~
no_composition	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
no_composition	2	COMMIT	-	2	0	-	-	-	-	-	-	-	-	~	-	NO_COMPOSITION
no_composition	3	CANCEL	-	2	0	-	-	-	-	-	-	-	-	~	-	NO_COMPOSITION
no_composition	4	SNAPSHOT	-	-	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
invalid_candidate_session	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
invalid_candidate_session	2	KEYS	nihao	2	0	5	nihao	5	0:5:RAW	0	false	true	$i1,$i2	~	SELECTING	~
invalid_candidate_session	3	SELECT	candidate-missing	7	5	-	-	-	-	-	-	-	-	~	-	INVALID_CANDIDATE
invalid_candidate_session	4	SNAPSHOT	-	-	-	5	nihao	5	0:5:RAW	0	false	true	$i1,$i2	~	SELECTING	~
invalid_candidate_session	5	SNAPSHOT_INVALID_SESSION	-	-	-	-	-	-	-	-	-	-	-	~	-	INVALID_SESSION
utf16_non_bmp	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
utf16_non_bmp	2	KEY	😀	2	0	1	😀	2	0:2:RAW	0	false	false	<empty>	~	COMPOSING	~
utf16_non_bmp	3	SNAPSHOT	-	-	-	1	😀	2	0:2:RAW	0	false	false	<empty>	~	COMPOSING	~
utf16_non_bmp	4	COMMIT	-	3	1	2	<empty>	0	<empty>	0	false	false	<empty>	😀	DIRECT	~
utf16_non_bmp	5	SNAPSHOT	-	-	-	2	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
cancel	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
cancel	2	KEYS	nihao	2	0	5	nihao	5	0:5:RAW	0	false	true	$x1,$x2	~	SELECTING	~
cancel	3	CANCEL	-	7	5	6	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
cancel	4	SNAPSHOT	-	-	-	6	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
context_privacy	1	START	ANDROID_PASSWORD_INCOGNITO	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
context_privacy	2	ASSERT_PRIVACY_CONTEXT	-	-	-	-	-	-	-	-	-	-	-	~	-	~
context_privacy	3	END_SESSION	-	2	-	-	-	-	-	-	-	-	-	~	-	~
context_privacy	4	ASSERT_SANITIZED	-	-	-	-	-	-	-	-	-	-	-	~	-	~
set_option	1	START	ANDROID_TEXT	1	-	0	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
set_option	2	KEY	n	2	0	1	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
set_option	3	SET_OPTION	FULL_SHAPE=true	3	1	2	n	1	0:1:RAW	0	false	false	<empty>	~	COMPOSING	~
set_option	4	ASSERT_OPTION	FULL_SHAPE=true	-	-	-	-	-	-	-	-	-	-	~	-	~
set_option	5	CANCEL	-	4	2	3	<empty>	0	<empty>	0	false	false	<empty>	~	DIRECT	~
value_guards	1	ASSERT_VALUE_GUARDS	-	-	-	-	-	-	-	-	-	-	-	~	-	~
